GENE	DISTANCE	EXPRESSION	DSB
PQLC2	79	8.76848887644	0.00424024881096
CAPZB	94	4.6074448091	0.00269638930996
MINOS1	14	37.65210097	0.012989224308
MINOS1-NBL1	14	116.757848872	0.0147467258186
NBL1	63	1.49754090671	0.00129382663739
HTR6	83	4.46915173261	0.00343471159054
OTUD3	34	7.29285446427	0.00483076340663
PLA2G2D	35	14.1476194544	0.00510579583285
PLA2G2C	22	37.3924707744	0.0092796075447
UBXN10-AS1	21	22.4553034874	0.00755579877949
UBXN10	23	14.6156800418	0.0078348810912
VWA5B1	81	-0.0711905671105	0.000170319805413
CAMK2N1	3	968.914263713	0.0666972939765
MUL1	10	269.394078697	0.028016268593
FAM43B	30	18.3295830183	0.00646717094123
CDA	66	4.62817355527	0.00243757614457
DDOST	59	6005948.50752	4.12020173036
EIF4G3	26	25.7944392245	0.00861775650387
ECE1	85	2.80845486747	0.00354635394245
NBPF3	29	22.2153549688	0.00644295460166
ALPL	0	14831.6687623	0.2221777693
HSPG2	30	16.2678061919	0.0126657125951
CELA3B	7	368.186082189	0.0300549320976
CELA3A	10	198.873322915	0.0216974359986
LINC00339	13	215.449320331	0.0224894725991
CDC42	40	234.084790683	0.0904092594863
WNT4	13	65.811442845	0.0136731990528
C1QA	3	1572.17567188	0.066449402855
C1QC	3	1665.98890363	0.0664686324997
C1QB	3	1258.88929115	0.0669161689069
EPHB2	61	1.23307685899	0.00128460697648
KDM1A	39	28.9438969702	0.0142686154905
LUZP1	16	19.2729596462	0.0140189217203
TCEA3	70	0.0586041560172	0.000475178106631
ASAP3	10	67.779153665	0.0182211391047
E2F2	1	18432.7413316	0.199988714232
ID3	14	208824.833322	0.866372128654
MDS2	9	117.410047978	0.0230640361676
RPL11	54	2280829952.96	107.510838941
NCMAP	80	5.01001269787	0.00350257114062
SRRM1	6	412.255808676	0.0628848163642
CLIC4	81	8.22804202497	0.00451362780691
TMEM50A	73	37.5476520016	0.0122088463231
RHCE	10	174.777635459	0.0192064386574
LDLRAP1	31	7.69934922799	0.00650762896875
MAN1C1	5	394.756174415	0.0402672503498
MTFR1L	76	95.7313786266	0.0161906734546
AUNIP	35	11.3938255702	0.0039167448835
PAQR7	23	92.5610776169	0.0148277908291
STMN1	11	10700.0460215	0.191671060544
PAFAH2	1	3587.15431295	0.199040787504
EXTL1	19	65.4878794892	0.0106469299721
SLC30A2	6	542.6924659	0.0322906238834
TRIM63	27	27.7495993266	0.00882531474542
PDIK1L	4	73.4986208398	0.0565342251755
FAM110D	12	85.9881163027	0.0151162557937
ZNF593	22	76.02957885	0.012206362426
CNKSR1	30	17.4408119582	0.00655916134766
CATSPER4	43	5.99115489942	0.00326742196435
CEP85	45	4.85014888036	0.00613858487529
SH3BGRL3	0	2919873.1722	6.81073226168
UBXN11	1	9618.39896865	0.199458693745
CD52	4	3497414.45816	2.85980085327
AIM1L	33	11.0019655271	0.00626373050818
ZNF683	14	101.961904937	0.013683476939
LIN28A	21	14.762141839	0.00736133262465
DHDDS	42	8.04954538495	0.00341361821538
HMGN2	82	915815.123758	2.50597500174
RPS6KA1	78	14.9921998865	0.00674249066224
ARID1A	74	28.3699044504	0.00743598687293
PIGV	3	1884.08340713	0.0719682445608
ZDHHC18	17	11.4030302291	0.013470056643
SFN	16	75.1436857809	0.0148898230966
GPN2	12	329.546134732	0.0266268442975
GPATCH3	22	32.4247602079	0.0114587866849
NR0B2	36	10.7036858597	0.00511995882597
NUDC	42	44.9282682463	0.0108476236322
KDF1	34	4.39837893793	0.00401034449731
TRNP1	3	1795.53920287	0.0691087570219
FAM46B	17	18.4153821956	0.0119218531312
WDTC1	52	4.58516685705	0.00519180691374
TMEM222	35	39.5982799519	0.0100180465167
ACTG1P20	36	9.83372809531	0.00510673112536
SYTL1	54	878.50735703	0.062552117032
MAP3K6	81	0.068148674467	0.00224552264496
FCN3	89	0.468618951326	0.00157024009099
CD164L2	98	1.90204723042	0.00187091761313
WASF2	64	326.473518631	0.0252336202894
AHDC1	48	4.05750442874	0.00266894400138
FGR	24	28.2338768169	0.00997959387052
IFI6	12	186.34752416	0.020053820417
FAM76A	63	11.915845011	0.00506564470469
POLR1B	63	13.320396677	0.00525624700259
SMPDL3B	47	6.25130153383	0.00463864775774
XKR8	22	17.5897415394	0.00703089424504
EYA3	1	15751.7180816	0.201679478423
PTAFR	28	50.7037631907	0.00951282816728
DNAJC8	14	19.8934036958	0.020346004723
SESN2	9	81.1821549126	0.0239014363299
MED18	30	16.852100489	0.00924623019456
PHACTR4	10	95.5340646623	0.020241543188
SNHG3	16	50506.14453	0.388465189334
RCC1	16	85.5868093863	0.014787477462
SNORA73B	13	1018.3090979	0.0483435755256
TRNAU1AP	31	34.8430670161	0.00882263877013
SNHG12	18	10844.8938138	0.158594577767
SNORD99	21	3545.42878466	0.0866996576295
RAB42P1	9	123.429541678	0.0248420077658
TAF12	35	6.7457215789	0.00788310878911
RNU11	39	230.723430738	0.0206545093304
GMEB1	59	3.00878594218	0.0035465198621
YTHDF2	42	49.7043319565	0.0174541993937
EPB41	97	3.80514906956	0.00483978897624
TMEM200B	62	4.04519025767	0.00505111934453
SRSF4	2	684.119600983	0.107540724218
MECR	23	15.9559285338	0.00891964411765
PTPRU	27	45.4832840932	0.00898549188795
MATN1	55	1.01351598057	0.00174277781794
MATN1-AS1	61	5.21165232568	0.00306824008381
LAPTM5	20	173163.550375	1.00376015791
SDC3	5	292.537638898	0.0379952067866
FABP3	40	5.86191607483	0.00416890528802
SERINC2	1	12361.2551519	0.200967572382
LINC01226	29	24.0900872265	0.00736712158867
TINAGL1	28	10.1564230961	0.00939997831086
HCRTR1	42	6.8684510513	0.00294624118789
PEF1	13	327.360114297	0.0258540864407
COL16A1	45	5.66747516308	0.00462645608281
ADGRB2	24	36.7626315055	0.00982567038786
SPOCD1	27	30.9948304136	0.00973053292313
YARS	50	85.1927297602	0.0144306008801
S100PBP	45	11.9633964323	0.0117189093893
FNDC5	2	2605.53356672	0.101626641628
CACNA1A	80	0.0561458268784	0.000425882377096
TMEM54	26	19.2742132911	0.00766178215751
RNF19B	36	24.8980696179	0.00665146234448
AK2	21	802.281179407	0.0494333069401
AZIN2	20	14.5013404598	0.00888794591745
ZNF362	41	11.2801436816	0.00506185412864
A3GALT2	25	17.0406418137	0.00672696796387
PHC2	9	185.107398027	0.0238338606759
ZSCAN20	0	13158.3737952	0.221950826489
GJB5	97	1.58104939781	0.00204433692389
GJB4	93	3.53733044462	0.00327906965413
GJB3	71	12.6244008433	0.00486341290438
GJA4	59	3.4581940822	0.00196491866281
SMIM12	8	260.544086838	0.0317430930634
DLGAP3	78	9.0699215325	0.00391331383729
ZMYM4-AS1	79	9.61406345755	0.0044109844737
TEKT2	48	10.770849616	0.00462064409257
ADPRHL2	44	25.7545155963	0.0180740280905
COL8A2	5	226.39225607	0.0400742983672
TRAPPC3	18	124.318598284	0.0208972699355
MAP7D1	23	31.7764251989	0.0231754049524
THRAP3	34	42.4527127714	0.00941818943939
LINC01137	18	41.7085857577	0.0121911562626
ZC3H12A	16	87.0095459087	0.0256791458766
MEAF6	58	18.4255281383	0.00983602930892
SNIP1	98	-0.604447596535	-0.000327791985219
DNALI1	99	-0.120442305182	-3.85425095743e-05
GNL2	84	4.0113263181	0.00386367739247
RSPO1	45	4.40461315193	0.00289639236505
C1ORF109	11	157.708003251	0.0234131040412
CDCA8	9	144.676058918	0.0209623908049
EPHA10	84	0.0297357914203	0.00158069454996
RRAGC	31	30.7355421137	0.00932708482439
MYCBP	45	37.8744818742	0.00919484729226
NDUFS5	71	89.0325143761	0.0366225325511
MACF1	13	47.9527048556	0.0182975268766
BMP8A	56	3.25110598349	0.00441833104266
OXCT2P1	32	23.5109823878	0.00605014663228
PPIEL	13	58.0001885331	0.0147961768486
PABPC4	28	5511.59383997	0.121391344329
SNORA55	21	1809.4672092	0.13005700643
HEYL	33	13.1243099735	0.00628761900686
HPCAL4	85	7.29303142981	0.00372014542984
PPIE	83	29.3233303122	0.00974637464052
BMP8B	31	12.965943739	0.00510879215624
OXCT2	49	5.91268602633	0.00547844264602
TRIT1	22	36.8116344595	0.0101453879602
MYCL	3	2183.76641409	0.0669145515485
MFSD2A	15	16.657234114	0.0122772854599
CAP1	67	274.524676226	0.0533092327997
PPT1	48	340.436483468	0.0378838833678
RLF	11	100.147561374	0.0190000550689
TMCO2	97	2.38702430027	0.00179341192336
COL9A2	91	-0.46181521597	1.75069241341e-05
ZFP69B	40	5.96076633582	0.00355442378703
ZFP69	67	15.5183337474	0.00589006629536
EXO5	98	5.26822564495	0.00331320322036
NFYC-AS1	86	0.168187765213	0.000663929240806
NFYC	71	9.15387114329	0.00452495921322
MIR30C1	23	35.4279467381	0.00913625996207
KCNQ4	1	11253.2217054	0.199732018881
CITED4	81	17.8057992463	0.00599714544151
SCMH1	83	3.70223906509	0.00306085176799
FOXO6	31	11.7614809681	0.00638015374317
EDN2	53	8.77013591926	0.00382676998524
PPIH	85	7.90014322173	0.00374089142266
YBX1	94	26808.9376229	0.587524071699
CLDN19	35	18.0653377878	0.0057749667042
P3H1	8	468.965923775	0.0314890717853
C1ORF50	10	258.670483621	0.0232910047915
ERMAP	45	7.28928741727	0.00505098361361
ZNF691	66	10.0292181373	0.0059618351594
FAM183A	75	5.7291884538	0.00369871991791
EBNA1BP2	53	202.913749237	0.0220516959962
CFAP57	55	5.91831176065	0.00418424827289
TMEM125	39	6.80644305708	0.00347143928295
C1ORF210	57	4.49185397062	0.00327213416366
TIE1	70	42.7833818166	0.00857212053766
MPL	80	32.056346234	0.00859941633871
CDC20	58	7.54161565679	0.00312392188061
ELOVL1	47	2799.57884302	0.0842600457195
MED8	26	149.662757843	0.0197822259743
SZT2	27	66.0403344452	0.0109980511411
SZT2-AS1	32	29.4786599137	0.00708404744889
HYI	38	139.56482787	0.0162290799427
PTPRF	0	22996.4105292	0.22322687673
DMAP1	9	218.596234159	0.0247112031331
ERI3	20	29.1924508	0.00949381465158
ERI3-IT1	23	32.4257738848	0.00790027362634
RNF220	27	19.1742320145	0.00862542571941
TMEM53	23	26.3385320068	0.00765989106349
KIF2C	51	8.04686977148	0.00376087776671
RPS8	22	8589682356.81	425.78569846
SNORD38A	19	18.9914838421	0.0159626309228
BEST4	8	234.10557923	0.0256145651898
PLK3	2	7115.61896219	0.127159812097
BTBD19	10	185.672449848	0.021006629474
PTCH2	47	15.7516808598	0.00628082333356
EIF2B3	21	21.406353538	0.00766190462231
HECTD3	0	9842.19624404	0.239749942028
UROD	0	275085.47211	1.02671141249
TESK2	0	23109.2732256	0.22243764643
MMACHC	0	3639.55248542	0.221427252362
PRDX1	11	5938.27884563	0.197851278816
AKR1A1	19	319.765436482	0.0302453830993
NASP	11	290.178405273	0.0525024206827
CCDC17	53	3.78043567772	0.00488398258599
RPS15AP10	75	4.58046778085	0.00362145056821
PIK3R3	96	2.1762821262	0.00205649348169
FAAH	83	0.786460585739	0.00088703145736
FAAHP1	44	7.2720467299	0.00589220600238
LINC01398	26	10.0556635234	0.00746466454966
DMBX1	20	55.6856620789	0.0107631846613
KNCN	25	13.6720325976	0.00586706016528
MKNK1	78	4.94964623956	0.00384027634215
MOB3C	89	21.3378846639	0.0088825333693
ATPAF1	54	8.29474259961	0.00495331556825
TEX38	50	11.1573889779	0.00500229615205
EFCAB14-AS1	48	3.3861973408	0.00297018691767
EFCAB14	1	17468.5478422	0.209002874425
CYP4A22	35	8.01256238596	0.00638082729708
LINC00853	1	17201.8200742	0.200527620323
PDZK1IP1	9	149.112875989	0.0233616784501
TAL1	33	1093.02527566	0.0879997515415
STIL	48	6.33093207079	0.00640458078954
CMPK1	65	84.5776656001	0.0231772563998
LINC01389	91	-0.619473721759	-0.000252769453568
FOXD2-AS1	93	4.99337305695	0.00528787532852
FOXD2	94	8.00519682354	0.00419141895391
SLC5A9	24	14.3541866931	0.00676749261692
SPATA6	23	19.2583941964	0.00654304756219
FAF1	85	3.05435797023	0.00255258791842
CDKN2C	77	4.77927458936	0.00463175023752
TTC39A	16	28.1121152785	0.0116757218845
TTC39A-AS1	10	85.5982751842	0.0203318894475
EPS15	19	55.2678922785	0.00984361974991
OSBPL9	76	3.32944190454	0.00227402670241
RAB3B	89	2.77549863433	0.00294377399019
CC2D1B	67	42.0224461737	0.0100423853492
GPX7	70	50.4525505606	0.0223745716466
COA7	20	55.6689417425	0.00981504659337
ZYG11B	46	5.33413762239	0.00329031492382
ZYG11A	57	4.32705810015	0.00334414397773
ECHDC2	23	21.9159732809	0.00911207455737
SYCP2	26	10.3297264687	0.00675682331039
CPT2	81	0.259387401524	0.00131234505215
C1ORF123	55	450834.627427	1.09751559678
MAGOH	37	57.6931711626	0.0122884418919
LRP8	52	5.5618950543	0.00335201679386
YIPF1	68	3.69792925268	0.0029683163895
DIO1	66	0.716292180203	0.000821465215572
HSPB11	12	148.462452142	0.0188377679138
LRRC42	14	71.8656613834	0.0154485990954
TMEM59	95	504.880866198	0.0313383403657
TCEANC2	93	2.16257462364	0.00254688224405
SSBP3	78	2.51469682747	0.00214083422337
SSBP3-AS1	93	3.66906181359	0.00332657562487
ACOT11	50	4.194184388	0.00509390409847
FAM151A	47	11.0657052048	0.00544828228468
MROH7	31	6.92651237363	0.00543612880416
MROH7-TTC4	31	9.89468594947	0.00512758682165
TTC4	35	17.0934315107	0.00536095532102
PARS2	6	359.719643408	0.0335940223206
TTC22	5	696.24070081	0.0402054598372
DHCR24	91	4.66392956906	0.00371765976583
PCSK9	42	12.7945375991	0.0060494899314
PRKAA2	47	7.47468722431	0.0037822443616
TACSTD2	70	1.63222344494	0.00146426121127
MYSM1	38	103.850851901	0.0194711538432
JUN	38	51032615683.9	442.282741671
LINC01135	37	26.7376066714	0.00690732556321
HOOK1	42	5.39289021087	0.00701969476945
NFIA-AS2	0	4728.55563127	0.223381802952
L1TD1	14	18.874439359	0.0140045143428
KANK4	88	0.462075903504	0.00163915344783
USP1	26	323.968116688	0.0590457621992
DOCK7	59	9.67434246401	0.00620989742353
ANGPTL3	67	2.04529015991	0.0023471716464
ATG4C	33	3.86879489066	0.00645574338165
LINC00466	1	8347.93572667	0.200688535834
ALG6	47	17.0162789829	0.00652617894767
ITGB3BP	95	0.594857802708	0.00133307638752
EFCAB7	97	1.17614638411	0.00267543490366
DLEU2L	71	3.21309482633	0.00190605470318
PGM1	2	284.480501538	0.101920697304
RAVER2	75	9.87371663992	0.00542187678767
AK4	28	8.76944603973	0.0112340101957
LEPROT	9	12020.4418784	0.20484343796
LEPR	95	0.495471308607	0.000997392807002
SGIP1	86	0.621382307613	0.00168125173201
TCTEX1D1	10	312.4756686	0.063718925707
INSL5	30	4.53174737616	0.00539853538363
WDR78	70	4.9888861854	0.0043978610447
MIER1	72	28.1949622812	0.00761043195847
SLC35D1	56	13.8891858071	0.0049411944101
IL12RB2	42	27.8172367336	0.00702879542393
SERBP1	82	67647.8467648	0.407295076797
GADD45A	77	4928.109761	0.103044537702
GNG12	72	1.24459437775	0.00172683659728
DIRAS3	56	3.11814148777	0.00296376845589
LRRC40	77	3.10962897328	0.00286674335455
SRSF11	91	24585.6398481	0.334010807201
VSIG2	99	2.04501961658	0.00238604347788
PTGER3	1	11012.7009131	0.200723506047
ZRANB2-AS1	1	10022.5520727	0.197226878755
ZRANB2	35	41735.8400715	0.310681761356
MIR186	21	1742053.42644	2.08898391084
ZRANB2-AS2	33	16.8251905419	0.00611532883858
ERICH3	97	1.06256933554	0.00214259698454
CRYZ	37	29.5442260725	0.0075952125453
TYW3	39	8.10203232738	0.00958567821565
ST6GALNAC3	73	0.812652353172	0.000953573805837
GIPC2	65	4.30181878545	0.0056752566607
IFI44L	52	3.3799606958	0.00427873194165
IFI44	23	30.8508289223	0.026276356457
PRKACB	43	81.4594380869	0.0293064194562
UOX	36	25.4165288254	0.00703734668168
RPF1	56	31.4188655143	0.00798833491293
GNG5	85	98.6362620074	0.0269069099198
SPATA1	83	5.38288531651	0.00315674155465
LPAR3	55	4.10683996521	0.00332805359293
MCOLN2	48	19.8254570402	0.00593369185158
SYDE2	57	10.978831497	0.00418632102793
C1ORF52	1	10610.5408682	0.209325076641
BCL10	18	45.5898240063	0.0151163974299
DDAH1	7	250.047534462	0.0270317153908
CYR61	7	224.650551874	0.0289161831826
HS2ST1	84	2.50236502898	0.00172130713971
LMO4	30	93.4955677627	0.013334061572
LINC01364	75	1.67010114613	0.00127370148411
GBP1P1	72	5.28715104425	0.00283439045972
LRRC8B	39	9.28806224704	0.00513758265146
LRRC8C	32	15.1083944649	0.00685304712779
LRRC8D	11	76.4520967169	0.0196801390799
GEMIN8P4	46	13.2780525667	0.00471993310431
ZNF326	44	121.212791504	0.0171835198401
TGFBR3	39	27.1845135337	0.00705863679232
EPHX4	32	22.0708281659	0.00663107615392
SETSIP	79	1.85492195552	0.00284788280181
BTBD8	82	0.3886223896	0.0016544305346
EVI5	65	1.52199888432	0.00270057010867
RPL5	20	274020037.406	72.3545645185
SNORA66	12	256.017613242	0.0524391570544
FAM69A	29	17.7332161107	0.00577482177891
MTF2	16	32.7822092586	0.0187577198291
DR1	94	606.250621058	0.0557503609288
FNBP1L	7	29.9281898528	0.0278374010004
BCAR3	8	329.07476692	0.0250364840263
MIR760	6	301.096434704	0.0347794143923
DNTTIP2	40	10156.218111	0.165404605657
GCLM	71	1.80659799565	0.00169513835694
ARHGAP29	90	0.405314110569	0.00110490992678
ABCD3	54	12.5018963971	0.00495927795419
F3	13	78.2605308154	0.0155121098606
SLC44A3	37	19.7016393195	0.00579759682686
CNN3	71	2.2709116591	0.0018628822746
ALG14	32	25.0750128307	0.00659346191603
TMEM56	74	2.49518385318	0.00478347489064
FRRS1	42	8.16774379508	0.00512083406724
AGL	40	14.1526592552	0.00749147695588
EXTL2	23	67.6670109541	0.0133779525866
SLC30A7	24	41.8376483164	0.0108414065298
S1PR1	53	5.1678277173	0.00509864589999
SLC25A24	76	2.42337932357	0.00204590157586
FAM102B	5	100.678936478	0.0417184427751
HENMT1	97	142.036927459	0.0297470082808
STXBP3	76	4.73453894744	0.0031448052817
AKNAD1	34	5.71186533126	0.00331870773969
SPATA42	31	18.0782891013	0.00611441610648
GPSM2	23	23.2130334634	0.00929741856368
CLCC1	64	1.87503456535	0.00193229989346
WDR47	69	6.70425950664	0.00343214838359
TAF13	35	26.1945204939	0.00778661089922
TMEM167B	22	5837.49464079	0.12883438475
SCARNA2	13	81.4680430818	0.0151645523196
C1ORF194	2	1749.27346144	0.0989302780702
KIAA1324	0	15806.8413485	0.221354052698
SARS	18	5911.66472263	0.238733247826
CELSR2	15	61.9791510594	0.01433811649
PSRC1	19	15.2373353581	0.0119769263643
SORT1	0	11838.8191704	0.220855787049
PSMA5	27	55.0107812906	0.0130154855719
SYPL2	65	1.47363066984	0.0015301529036
ATXN7L2	83	6.6677394394	0.00427987639761
CYB561D1	93	11.9909555323	0.00656178899977
GNAI3	97	38.4433499368	0.00816851753908
MIR197	46	7.63192994674	0.00407363578153
GNAT2	30	22.6415943187	0.00702490892825
AMPD2	26	2955.29280447	0.123617584619
GSTM4	10	40.9234806521	0.02656983669
GSTM2	22	202.063876707	0.0192633783986
GSTM1	41	13.5486599831	0.00511673495857
GSTM5	66	4.64567365287	0.00280789126481
GSTM3	97	2.96121872932	0.00475341991735
AHCYL1	44	126.550381993	0.0373214421179
STRIP1	14	96.2287704518	0.0213885037931
LINC01397	23	24.595529296	0.00913954349072
SLC6A17	44	6.78601327569	0.00364335838726
KCNC4-AS1	98	-0.323662959132	0.000869026015109
RBM15	28	982.642465108	0.0561217161297
SLC16A4	22	11.7272329263	0.0100238362994
LAMTOR5	5	1981.78983688	0.0745905861128
LAMTOR5-AS1	8	189.676688291	0.0248185319504
PROK1	35	10.524354469	0.00762464808877
KCNA2	0	16088.2062181	0.221377063947
KCNA3	43	3347.8081826	0.101163219245
LRIF1	17	49.0997854727	0.0115257933278
DRAM2	81	83.5656840855	0.0142993033498
CEPT1	83	7.69864620194	0.00390469334622
DENND2D	20	69.0065321866	0.0116231790838
CHI3L2	4	909.958658866	0.0489827934397
PIFO	46	5.25190604148	0.00264623402975
OVGP1	36	19.3334054877	0.00646566330274
WDR77	32	43.9931116689	0.0108020911128
C1ORF162	9	486.120331431	0.0453376544246
ADORA3	7	229.385867437	0.0265243794476
LINC01160	43	7.14420239577	0.00315092329028
RAP1A	33	33.321134627	0.00862430862137
FAM212B	25	17.4328004333	0.00882317851983
FAM212B-AS1	23	37.8422051727	0.0104871571281
DDX20	39	64.6204209269	0.015345302772
CTTNBP2NL	69	2.98988276943	0.00410250802851
WNT2B	0	16514.6137817	0.221029178585
ST7L	0	21855.6018616	0.221395566128
CAPZA1	1	6124.28311734	0.205060935395
MOV10	53	6.7643251756	0.00542345861521
RHOC	88	45.286426831	0.017251881769
PPM1J	96	4.38732885387	0.00313674956397
FAM19A3	99	9.12594290055	0.0043616228897
SLC16A1	77	8.46082527297	0.00399127127218
AKR7A2P1	42	14.3069668442	0.00558942380258
SLC16A1-AS1	75	4.85748083901	0.00328359796344
LRIG2	29	25.6557850649	0.00676117894021
PHTF1	78	3.75434424874	0.00292947525106
TSPAN2	49	150.543961633	0.0302944518653
VANGL1	29	17.4606985063	0.00851474427517
MAB21L3	24	10.375814944	0.0068250684192
ATP1A1	9	955.058347618	0.08958962699
ATP1A1-AS1	57	3.5863309366	0.00282720032498
CD58	10	56.1081777423	0.0187655698695
IGSF3	71	2.09374134017	0.00157648617707
CD2	11	162.209825192	0.0183010869629
PTGFRN	89	3.04281115287	0.00382459431514
CD101	51	7.99824680038	0.00371937860712
TTF2	6	524.108505818	0.0336264740301
MIR942	41	10.3681389008	0.0036909755831
TRIM45	70	25.8026130726	0.00825997258971
FAM46C	70	18.4344802338	0.00892237378126
GDAP2	35	23.898801344	0.00669365370188
WDR3	33	28.4809638523	0.0081997539998
HSD3BP4	56	10.3294301321	0.00379924581882
LINC00622	19	54.1495021691	0.0101833073025
ZNF697	11	21.074922933	0.0194032790664
PHGDH	50	3.13053548202	0.00301671083317
NBPF7	43	9.94509955276	0.00381221601894
ADAM30	74	0.704112598771	0.00142124325322
NOTCH2	98	5.03298773116	0.00360660785903
HFE2	50	6.92920926589	0.00386583201566
TXNIP	24	113809236.079	19.7778367761
POLR3GL	8	387.947283866	0.0318610145718
ANKRD34A	7	53.0269284563	0.02783533539
LIX1L	13	163.044065247	0.0174584627303
RBM8A	44	18506.1293663	0.333107625359
GNRHR2	54	3.76941834941	0.00247081635661
PEX11B	52	25.3349998242	0.00638346527164
ITGA10	61	2.34927960007	0.00205752333845
ANKRD35	85	5.46379528792	0.0029436761847
ACP6	28	13.361180674	0.00754442320052
HIST2H2BE	73	10985356.1299	9.94417739728
HIST2H2AC	74	10900.0446958	0.156720176782
HIST2H2AB	72	26.294650054	0.00637613264579
BOLA1	62	136.359942101	0.0242946870798
