ID	Description	GeneRatio	BgRation	pvalue	p.adjust	qvalue	geneID	Count
GATAD2B	GATAD2B	10/299	20/17381	2.01E-05	0.001024144	0.001024144	TNRC6C/MACF1/KDM2A/KMT2A/CELF1/SIK3/NCAM1/MLLT4/MLLT6/TNRC6B	10
MBNL1	MBNL1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/SEPT6/KDM2A/BTN3A1/PIP4K2A/TLN1/UTRN/SORL1/MCL1/MLLT6	10
GPATCH8	GPATCH8	10/299	20/17381	2.01E-05	0.001024144	0.001024144	MACF1/PBRM1/SCAF8/KDM2A/KMT2A/CELF1/SIK3/UTRN/GLYR1/MLLT6	10
HELZ	HELZ	10/299	20/17381	2.01E-05	0.001024144	0.001024144	MACF1/RABGAP1L/PBRM1/SCAF8/KDM2A/KMT2A/DENND4A/UTRN/EPS15/SORL1	10
ELF4	ELF4	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/SEPT9/KDM2A/ATG16L2/TLN1/VAV1/MYO1F/MCL1/MLLT6	9
NR3C1	NR3C1	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/KDM2A/DENND4A/LPXN/TLN1/UTRN/SORL1/NFKB1/MCL1	9
STAT1	STAT1	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/SEPT9/KDM2A/BTN3A1/LPXN/TLN1/NFKB1/MCL1/MLLT6	9
MEF2D	MEF2D	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SEPT9/KDM2A/SIK3/MYO18A/TLN1/GLYR1/WDTC1/MCL1/MLLT6	9
PRDM2	PRDM2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	RABGAP1L/KDM2A/FCHSD2/KMT2A/DENND4A/SIK3/UTRN/AFF3/MLLT6	9
STAT5A	STAT5A	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/SEPT6/USP20/SLC43A3/LMO2/TLN1/NFKB1/VAV1/MLLT6	9
BCL11B	BCL11B	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/APBB1IP/UVRAG/MEF2C/KDM2A/KMT2A/BTN3A1/SORL1/MLLT6	9
KLF2	KLF2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/APBB1IP/ATG16L2/BTN3A1/VAV1/MYO1F/WDTC1/MCL1/MLLT6	9
JUND	JUND	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/SEPT9/KDM2A/SIK3/MYO18A/TNRC18/WDTC1/MCL1/MLLT6	9
NFATC1	NFATC1	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/APBB1IP/SEPT9/SEPT6/TLN1/NFKB1/VAV1/WDTC1/MLLT6	9
LEF1	LEF1	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/APBB1IP/SEPT9/SEPT6/KDM2A/BTN3A1/USP20/VAV1/MLLT6	9
NFIC	NFIC	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SVIL/PHLDB1/TNXB/WNK2/MYO18A/TNRC18/MLLT1/SCN4B/WDTC1	9
NR2C2	NR2C2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	MACF1/KDM2A/KMT2A/SIK3/TLN1/UTRN/SORL1/MCL1/MLLT6	9
PBX2	PBX2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SEPT9/KDM2A/ATG16L2/TLN1/MYO1F/GLYR1/WDTC1/MCL1/MLLT6	9
FOXO3	FOXO3	9/299	20/17381	1.18E-04	0.00301549	0.00301549	MACF1/SEC14L1/SIK3/PIP4K2A/TLN1/UTRN/DCAF12/SORL1/MCL1	9
CASZ1	CASZ1	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SVIL/KDM2A/MYO5B/WNK2/MYO18A/TNRC18/UTRN/WDTC1/MLLT6	9
ZNF710	ZNF710	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SEPT9/ATG16L2/ELL/MYO18A/TLN1/MYO1F/WDTC1/MCL1/MLLT6	9
ZNF462	ZNF462	9/299	20/17381	1.18E-04	0.00301549	0.00301549	MLLT11/PBRM1/KMT2A/WNK2/CACNA1B/NCAM1/NAV2/MLLT4/TNRC6B	9
ZNF276	ZNF276	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/APBB1IP/KDM2A/ATG16L2/BTN3A1/VAV1/MYO1F/MCL1/MLLT6	9
ZNF704	ZNF704	9/299	20/17381	1.18E-04	0.00301549	0.00301549	MACF1/PHLDB1/PBRM1/KMT2A/WNK2/NAV2/SCN3B/DSCAML1/MLLT4	9
ZNF592	ZNF592	9/299	20/17381	1.18E-04	0.00301549	0.00301549	SEPT9/KDM2A/MYO18A/TLN1/MYO1F/GLYR1/WDTC1/MCL1/MLLT6	9
AKNA	AKNA	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/ATG16L2/BTN3A1/SORL1/VAV1/MYO1F/WDTC1/MCL1/MLLT6	9
PHF21A	PHF21A	9/299	20/17381	1.18E-04	0.00301549	0.00301549	APBB1IP/SEC14L1/ATG16L2/BTN3A1/SORL1/MYO1F/WDTC1/MCL1/MLLT6	9
MECP2	MECP2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	ITPKB/MACF1/SEPT9/KDM2A/KMT2A/SIK3/TNRC18/WDTC1/MLLT6	9
CHD2	CHD2	9/299	20/17381	1.18E-04	0.00301549	0.00301549	MACF1/KDM2A/KMT2A/DENND4A/SIK3/UTRN/SORL1/MCL1/MLLT6	9
MXD1	MXD1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/SEC14L1/ATG16L2/BTN3A1/SORL1/VAV1/MYO1F/MCL1	8
BCL6	BCL6	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/SEC14L1/ATG16L2/ELL/SORL1/MYO1F/WDTC1/MCL1	8
RREB1	RREB1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/KDM2A/DENND4A/MYO18A/BMP2K/TNRC18/UTRN/ETV6	8
ARNT	ARNT	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SVIL/RNF115/KDM2A/DENND4A/CMAHP/TLN1/NT5C2/VAV1	8
SKI	SKI	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/GNA12/TNRC18/MLLT1/TLN1/GLYR1/WDTC1/MLLT6	8
MLXIP	MLXIP	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SVIL/KDM2A/USP20/WNK2/MYO18A/TNRC18/WDTC1/MLLT6	8
SP1	SP1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/KDM2A/CEP164/TLN1/SORL1/GLYR1/WDTC1/MCL1	8
IKZF1	IKZF1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/SEPT9/SEPT6/BTN3A1/SORL1/VAV1/MYO1F/MLLT6	8
TCF4	TCF4	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MLLT11/MEF2C/TCF12/FXYD6/NCAM1/AFF3/DSCAML1/GRIA4	8
FOXN3	FOXN3	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SVIL/KDM2A/MYO18A/UTRN/SORL1/WDTC1/MCL1/MLLT6	8
ZNF609	ZNF609	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/SEPT9/KDM2A/KMT2A/TNRC18/UTRN/WDTC1/MLLT6	8
RFX7	RFX7	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/MLLT10/MEF2C/PBRM1/SCAF8/FCHSD2/KMT2A/CELF1	8
ZBTB40	ZBTB40	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/SEPT9/KDM2A/BTN3A1/TLN1/WDTC1/MCL1/MLLT6	8
ZFP36L1	ZFP36L1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/SEPT9/KDM2A/ELL/MYO1F/WDTC1/MCL1/MLLT6	8
ZNF655	ZNF655	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/MACF1/KDM2A/BTN3A1/DENND4A/UTRN/MCL1/MLLT6	8
ZNF335	ZNF335	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/KDM2A/ELL/USP20/DHX16/MYO1F/WDTC1/MLLT6	8
ZXDA	ZXDA	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/SVIL/KDM2A/MYO18A/TLN1/NFKB1/MCL1/MLLT6	8
IFI16	IFI16	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/SEPT6/BTN3A1/LPXN/NFKB1/VAV1/MYO1F/MCL1	8
MBNL3	MBNL3	8/299	20/17381	6.22E-04	0.010041542	0.010041542	RABGAP1L/BTN3A1/PIP4K2A/TLN1/UTRN/DCAF12/SORL1/MCL1	8
ZNF831	ZNF831	8/299	20/17381	6.22E-04	0.010041542	0.010041542	ITPKB/APBB1IP/SEPT9/BTN3A1/SORL1/VAV1/MYO1F/MLLT6	8
RBM22	RBM22	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT6/FCHSD2/ATG16L2/SLC43A3/NFKB1/VAV1/MCL1/ETV6	8
SMAD7	SMAD7	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/KDM2A/ELL/KIF5B/TLN1/NFKB1/MCL1/MLLT6	8
PRR12	PRR12	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/KDM2A/WNK2/TNRC18/MLLT1/GLYR1/WDTC1/MLLT6	8
AHDC1	AHDC1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	WNK2/CEP164/MYO18A/TNRC18/MLLT1/NCAM1/MLLT3/FOXP1	8
ZFP36	ZFP36	8/299	20/17381	6.22E-04	0.010041542	0.010041542	APBB1IP/KDM2A/ATG16L2/ELL/BTN3A1/MYO1F/MCL1/MLLT6	8
MBD1	MBD1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	SEPT9/KDM2A/ELL/USP20/TLN1/WDTC1/MCL1/MLLT6	8
POGZ	POGZ	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/MLLT10/KMT2A/WNK2/NAV2/AFF3/MLLT4/TNRC6B	8
PBRM1	PBRM1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MLLT11/GRIP1/MACF1/KMT2A/CELF1/NCAM1/UTRN/MLLT4	8
YOD1	YOD1	8/299	20/17381	6.22E-04	0.010041542	0.010041542	MACF1/HELQ/BMP2K/PIP4K2A/UTRN/DCAF12/SORL1/MCL1	8
KLF6	KLF6	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/KDM2A/ELL/BTN3A1/NFKB1/MCL1/MLLT6	7
RORA	RORA	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/BTN3A1/UTRN/MPZL3/EPS15/SORL1/MLLT6	7
MNT	MNT	7/299	20/17381	0.00289193	0.027334097	0.027334097	KDM2A/ATG16L2/TNRC18/MLLT1/MYO1F/WDTC1/MLLT6	7
CIC	CIC	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/KDM2A/TNRC18/MLLT1/TLN1/WDTC1/MLLT6	7
HIVEP1	HIVEP1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SCAF8/KDM2A/KMT2A/DENND4A/UTRN/NFKB1	7
NFATC2	NFATC2	7/299	20/17381	0.00289193	0.027334097	0.027334097	ITPKB/APBB1IP/SEPT9/SEPT6/KDM2A/BTN3A1/MLLT6	7
LHX6	LHX6	7/299	20/17381	0.00289193	0.027334097	0.027334097	MLLT11/UVRAG/MEF2C/CELF1/FXYD6/DSCAML1/GRIA4	7
BACH2	BACH2	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEPT6/KMT2A/AFF3/MLLT3/FOXP1/TNRC6B	7
KLF9	KLF9	7/299	20/17381	0.00289193	0.027334097	0.027334097	SVIL/TNXB/SIK3/MYO18A/SCN4B/WDTC1/MLLT6	7
IRF1	IRF1	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/BTN3A1/VAV1/MYO1F/FOXP1/MCL1	7
ZNF384	ZNF384	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/KDM2A/KMT2A/TLN1/WDTC1/MCL1/MLLT6	7
ARNTL	ARNTL	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/ELL/BTN3A1/SORL1/MYO1F/MCL1	7
HLX	HLX	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/ELL/SLC43A3/NFKB1/VAV1/MYO1F	7
ETV6	ETV6	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEPT6/FCHSD2/LMO2/CMAHP/NFKB1/VAV1	7
SMAD4	SMAD4	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SVIL/SCAF8/SIK3/UTRN/MLLT4/ARHGAP12	7
SPIB	SPIB	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/UVRAG/SEPT6/FCHSD2/DCP1A/AFF3/VAV1	7
CREB5	CREB5	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEC14L1/ATG16L2/BTN3A1/SORL1/MYO1F/MCL1	7
JAZF1	JAZF1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MLLT11/DENND4A/SIK3/SCN3B/DCAF12/EPS15/SORL1	7
USF1	USF1	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/ELL/BTN3A1/VAV1/MYO1F/MCL1	7
ZBTB7B	ZBTB7B	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/ATG16L2/TLN1/MYO1F/WDTC1/MCL1/MLLT6	7
SP2	SP2	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/MED1/SEPT9/ELL/MYO1F/WDTC1/MLLT6	7
STAT2	STAT2	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/BTN3A1/CTSK/TLN1/NFKB1/MYO1F/MLLT6	7
SP3	SP3	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SCAF8/KDM2A/TLN1/UTRN/SORL1/MCL1	7
RELA	RELA	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/KDM2A/ELL/TLN1/NFKB1/WDTC1/MLLT6	7
ZBTB4	ZBTB4	7/299	20/17381	0.00289193	0.027334097	0.027334097	ITPKB/SEPT9/PHLDB1/SIK3/TLN1/WDTC1/MLLT6	7
FOXO4	FOXO4	7/299	20/17381	0.00289193	0.027334097	0.027334097	ATG16L2/SIK3/MYO18A/TLN1/MYO1F/MCL1/MLLT6	7
ZNF395	ZNF395	7/299	20/17381	0.00289193	0.027334097	0.027334097	ITPKB/SEPT9/KDM2A/MYO18A/TNRC18/WDTC1/MLLT6	7
PAX5	PAX5	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEPT9/SEPT6/FCHSD2/AFF3/MLLT3/FOXP1	7
MYT1	MYT1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MLLT11/WNK2/CACNA1B/FXYD6/NCAM1/SCN3B/DSCAML1	7
ZNF510	ZNF510	7/299	20/17381	0.00289193	0.027334097	0.027334097	MED1/MACF1/SCAF8/CELF1/KIF5B/UTRN/EPS15	7
ZBTB1	ZBTB1	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/KDM2A/BTN3A1/UTRN/SORL1/MCL1/MLLT6	7
CUX1	CUX1	7/299	20/17381	0.00289193	0.027334097	0.027334097	KDM2A/GNA12/MYO18A/TNRC18/MLLT1/TLN1/WDTC1	7
PKNOX2	PKNOX2	7/299	20/17381	0.00289193	0.027334097	0.027334097	PHLDB1/MEF2C/WNK2/TNRC18/NCAM1/ADARB2/SCN3B	7
TSC22D4	TSC22D4	7/299	20/17381	0.00289193	0.027334097	0.027334097	ITPKB/APBB1IP/SEPT9/ATG16L2/MYO1F/WDTC1/MLLT6	7
ZNF460	ZNF460	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/FOCAD/CELF1/UTRN/ARHGAP12/GRIA4/TNRC6B	7
FOXJ3	FOXJ3	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/KDM2A/KMT2A/CELF1/SIK3/GLYR1/MLLT6	7
ZBTB10	ZBTB10	7/299	20/17381	0.00289193	0.027334097	0.027334097	MLLT10/PBRM1/SCAF8/KMT2A/DENND4A/MLLT4/TNRC6B	7
TCF20	TCF20	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SEPT9/KDM2A/TNRC18/UTRN/GLYR1/MLLT6	7
ZNF800	ZNF800	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEPT6/KDM2A/DENND4A/ABI1/CMAHP/MCL1	7
ZC3H11A	ZC3H11A	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SCAF8/KDM2A/KIF5B/UTRN/EPS15/MCL1	7
AFF4	AFF4	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SCAF8/KMT2A/KIF5B/UTRN/MLLT4/ARCN1	7
SETBP1	SETBP1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MLLT11/GRIP1/KMT2A/TCF12/FXYD6/NCAM1/TNRC6B	7
MYSM1	MYSM1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/MLLT10/SCAF8/KDM2A/KMT2A/CELF1/UTRN	7
ANKZF1	ANKZF1	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/KDM2A/ATG16L2/BTN3A1/USP20/MYO1F/MLLT6	7
ATXN7	ATXN7	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/KDM2A/BTN3A1/UTRN/SORL1/MCL1/MLLT6	7
FOXK1	FOXK1	7/299	20/17381	0.00289193	0.027334097	0.027334097	ITPKB/MACF1/SEPT9/KDM2A/KMT2A/WNK2/MLLT6	7
CHD6	CHD6	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/ZEB1/KMT2A/WNK2/CACNA1B/UTRN/MLLT4	7
UBR4	UBR4	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SEPT9/KDM2A/TNRC18/TLN1/UTRN/MLLT6	7
MBD2	MBD2	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEPT9/KDM2A/TLN1/NFKB1/MCL1/MLLT6	7
PLXNC1	PLXNC1	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/BTN3A1/SORL1/VAV1/MYO1F/MCL1	7
NCOA2	NCOA2	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/SCAF8/KDM2A/SIK3/UTRN/SORL1/MCL1	7
NCOR1	NCOR1	7/299	20/17381	0.00289193	0.027334097	0.027334097	MACF1/RABGAP1L/PBRM1/KMT2A/UTRN/FOXP1/TNRC6B	7
SSH2	SSH2	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/SEC14L1/ATG16L2/BTN3A1/VAV1/MYO1F/MCL1	7
MINK1	MINK1	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/KDM2A/TNRC18/TLN1/GLYR1/WDTC1/MLLT6	7
RNF166	RNF166	7/299	20/17381	0.00289193	0.027334097	0.027334097	APBB1IP/ATG16L2/BTN3A1/VAV1/MYO1F/MCL1/MLLT6	7
REPIN1	REPIN1	7/299	20/17381	0.00289193	0.027334097	0.027334097	SEPT9/MYO18A/TNRC18/MLLT1/GLYR1/WDTC1/MLLT6	7
