left	leftchr	leftloc	leftstrand	leftcentromere	right	rightchr	rightloc	rightstrand	rightcentromere	samples	mutations	papers	leftnum	rightnum	fusion
COL1A1	17	48260650	-1	23100000	USP6	17	5019733	1	23100000	2	2	3	0	1	COL1A1-USP6
COL1A2	7	94023873	1	58950000	PLAG1	8	57073463	-1	44350000	4	1	3	1	1	COL1A2-PLAG1
CRTC1	19	18794487	1	25450000	MAML2	11	95709762	-1	52650000	632	253	36	0	1	CRTC1-MAML2
CRTC3	15	91073157	1	17400000	MAML2	11	95709762	-1	52650000	302	13	3	1	1	CRTC3-MAML2
MIA2	14	39699435	1	16850000	GEMIN2	14	39583427	1	16850000	1	1	1	1	0	MIA2-GEMIN2
CTNNB1	3	41236328	1	89450000	PLAG1	8	57073463	-1	44350000	108	17	9	0	1	CTNNB1-PLAG1
DCTN1	2	74588281	-1	91900000	ALK	2	29415640	-1	91900000	39	3	2	1	0	DCTN1-ALK
DDX5	17	62495734	-1	23100000	ETV4	17	41605212	-1	23100000	1	1	1	0	1	DDX5-ETV4
DHH	12	49483204	-1	34550000	RHEBL1	12	49458468	-1	34550000	60	8	1	0	1	DHH-RHEBL1
DNAJB1	19	14625582	-1	25450000	PRKACA	19	14202500	-1	25450000	186	107	6	1	0	DNAJB1-PRKACA
EIF3E	8	109213445	-1	44350000	RSPO2	8	108911544	-1	44350000	69	2	3	0	1	EIF3E-RSPO2
EIF3K	19	39109735	1	25450000	CYP39A1	6	46517541	-1	59850000	1	1	1	1	0	EIF3K-CYP39A1
EML4	2	42396490	1	91900000	ALK	2	29415640	-1	91900000	11223	711	518	0	0	EML4-ALK
EPC1	10	32556679	-1	39100000	PHF1	6	33378176	1	59850000	1	1	3	1	1	EPC1-PHF1
ERC1	12	1099675	1	34550000	RET	10	43572475	1	39100000	194	2	9	0	0	ERC1-RET
ERC1	12	1099675	1	34550000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	ERC1-ROS1
ERO1L	14	53106634	-1	16850000	FERMT2	14	53323986	-1	16850000	1	1	1	0	1	ERO1L-FERMT2
ESRP1	8	95653302	1	44350000	RAF1	3	12625100	-1	89450000	4	1	2	1	0	ESRP1-RAF1
ETV6	12	11802788	1	34550000	ABL1	9	133589333	1	48150000	811	32	25	0	0	ETV6-ABL1
ETV6	12	11802788	1	34550000	ITPR2	12	26490342	-1	34550000	1	1	1	0	0	ETV6-ITPR2
ETV6	12	11802788	1	34550000	JAK2	9	4985033	1	48150000	192	4	8	0	1	ETV6-JAK2
ETV6	12	11802788	1	34550000	NTRK3	15	88418230	-1	17400000	1059	144	49	0	1	ETV6-NTRK3
ETV6	12	11802788	1	34550000	PDGFRB	5	149493400	-1	47250000	42	26	16	0	1	ETV6-PDGFRB
ETV6	12	11802788	1	34550000	RUNX1	21	36160098	-1	12050000	2277	357	43	0	1	ETV6-RUNX1
EWSR1	22	29663998	1	13450000	ATF1	12	51157493	1	34550000	357	179	47	1	0	EWSR1-ATF1
EWSR1	22	29663998	1	13450000	CREB1	2	208394461	1	91900000	85	28	11	1	0	EWSR1-CREB1
EWSR1	22	29663998	1	13450000	DDIT3	12	57910371	-1	34550000	344	26	27	1	1	EWSR1-DDIT3
EWSR1	22	29663998	1	13450000	ERG	21	39751949	-1	12050000	1639	122	91	1	1	EWSR1-ERG
EWSR1	22	29663998	1	13450000	ETV1	7	13930853	-1	58950000	65	4	12	1	0	EWSR1-ETV1
EWSR1	22	29663998	1	13450000	ETV4	17	41605212	-1	23100000	66	3	13	1	1	EWSR1-ETV4
EWSR1	22	29663998	1	13450000	FEV	2	219845809	-1	91900000	92	6	17	1	1	EWSR1-FEV
EWSR1	22	29663998	1	13450000	FLI1	11	128556430	1	52650000	2132	1332	167	1	0	EWSR1-FLI1
EWSR1	22	29663998	1	13450000	NFATC1	18	77155856	1	16300000	1	1	1	1	0	EWSR1-NFATC1
EWSR1	22	29663998	1	13450000	NFATC2	20	50003494	-1	26550000	4	4	2	1	1	EWSR1-NFATC2
EWSR1	22	29663998	1	13450000	NR4A3	9	102584137	1	48150000	176	85	22	1	0	EWSR1-NR4A3
EWSR1	22	29663998	1	13450000	PATZ1	22	31721790	-1	13450000	1	1	2	1	1	EWSR1-PATZ1
EWSR1	22	29663998	1	13450000	PBX1	1	164524821	1	123250000	67	6	2	1	0	EWSR1-PBX1
EWSR1	22	29663998	1	13450000	POU5F1	6	31132119	-1	59850000	73	10	6	1	0	EWSR1-POU5F1
EWSR1	22	29663998	1	13450000	SMARCA5	4	144434616	1	49300000	1	1	2	1	0	EWSR1-SMARCA5
EWSR1	22	29663998	1	13450000	SP3	2	174771187	-1	91900000	1	1	2	1	1	EWSR1-SP3
EWSR1	22	29663998	1	13450000	WT1	11	32409321	-1	52650000	267	121	55	1	0	EWSR1-WT1
EWSR1	22	29663998	1	13450000	YY1	14	100704635	1	16850000	16	2	1	1	0	EWSR1-YY1
EWSR1	22	29663998	1	13450000	ZNF384	12	6775643	-1	34550000	2	2	1	1	0	EWSR1-ZNF384
EWSR1	22	29663998	1	13450000	ZNF444	19	56643968	1	25450000	67	2	2	1	0	EWSR1-ZNF444
EZR	6	159186773	-1	59850000	ROS1	6	117609463	-1	59850000	1104	7	19	0	1	EZR-ROS1
FAM131B	7	143050493	-1	58950000	BRAF	7	140419127	-1	58950000	107	6	6	0	1	FAM131B-BRAF
FBXL18	7	5470966	-1	58950000	RNF216	7	5659678	-1	58950000	1	1	1	1	0	FBXL18-RNF216
FCHSD1	5	141018869	-1	47250000	BRAF	7	140419127	-1	58950000	2	1	1	0	1	FCHSD1-BRAF
FGFR1	8	38268656	-1	44350000	ZNF703	8	37553269	1	44350000	1	1	1	1	1	FGFR1-ZNF703
FGFR1	8	38268656	-1	44350000	PLAG1	8	57073463	-1	44350000	16	10	1	1	1	FGFR1-PLAG1
FGFR1	8	38268656	-1	44350000	TACC1	8	38585704	1	44350000	81	1	4	1	1	FGFR1-TACC1
FGFR3	4	1795034	1	49300000	BAIAP2L1	7	97920963	-1	58950000	31	1	3	0	1	FGFR3-BAIAP2L1
FGFR3	4	1795034	1	49300000	TACC3	4	1723227	1	49300000	338	15	15	0	1	FGFR3-TACC3
FN1	2	216225163	-1	91900000	ALK	2	29415640	-1	91900000	1	1	2	0	0	FN1-ALK
FUS	16	31191431	1	35600000	ATF1	12	51157493	1	34550000	6	2	5	0	0	FUS-ATF1
FUS	16	31191431	1	35600000	CREB3L1	11	46299212	1	52650000	236	4	5	0	1	FUS-CREB3L1
FUS	16	31191431	1	35600000	CREB3L2	7	137559725	-1	58950000	332	98	12	0	1	FUS-CREB3L2
FUS	16	31191431	1	35600000	DDIT3	12	57910371	-1	34550000	627	351	48	0	1	FUS-DDIT3
FUS	16	31191431	1	35600000	ERG	21	39751949	-1	12050000	52	52	16	0	1	FUS-ERG
FUS	16	31191431	1	35600000	FEV	2	219845809	-1	91900000	1	1	3	0	1	FUS-FEV
GATM	15	45653322	-1	17400000	BRAF	7	140419127	-1	58950000	11	1	1	0	1	GATM-BRAF
GMDS	6	1624041	-1	59850000	PDE8B	5	76506274	1	47250000	1	1	1	1	0	GMDS-PDE8B
GNAI1	7	79763271	1	58950000	BRAF	7	140419127	-1	58950000	96	1	1	1	1	GNAI1-BRAF
GOLGA5	14	93260576	1	16850000	RET	10	43572475	1	39100000	278	3	14	1	0	GOLGA5-RET
GOPC	6	117639374	-1	59850000	ROS1	6	117609463	-1	59850000	242	7	15	0	1	GOPC-ROS1
GPBP1L1	1	46092976	-1	123250000	MAST2	1	46252659	1	123250000	153	1	1	1	1	GPBP1L1-MAST2
HACL1	3	15602211	-1	89450000	RAF1	3	12625100	-1	89450000	11	1	1	1	0	HACL1-RAF1
HAS2	8	122624356	-1	44350000	PLAG1	8	57073463	-1	44350000	5	4	4	0	1	HAS2-PLAG1
HERPUD1	16	56965960	1	35600000	BRAF	7	140419127	-1	58950000	11	1	1	1	1	HERPUD1-BRAF
HEY1	8	80676245	-1	44350000	NCOA2	8	71021997	-1	44350000	31	8	2	0	1	HEY1-NCOA2
HIP1	7	75162621	-1	58950000	ALK	2	29415640	-1	91900000	4	4	3	0	0	HIP1-ALK
HLA-A	6	29909037	1	59850000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	HLA-A-ROS1
HMGA2	12	66217911	1	34550000	ALDH2	12	112204691	1	34550000	1	1	1	1	0	HMGA2-ALDH2
HMGA2	12	66217911	1	34550000	CCNB1IP1	14	20779527	-1	16850000	16	1	1	1	1	HMGA2-CCNB1IP1
HMGA2	12	66217911	1	34550000	COX6C	8	100885428	-1	44350000	16	1	2	1	1	HMGA2-COX6C
HMGA2	12	66217911	1	34550000	EBF1	5	158122928	-1	47250000	2	1	2	1	1	HMGA2-EBF1
HMGA2	12	66217911	1	34550000	FHIT	3	59735036	-1	89450000	60	1	4	1	0	HMGA2-FHIT
HMGA2	12	66217911	1	34550000	LHFP	13	39917029	-1	17100000	5	1	3	1	1	HMGA2-LHFP
HMGA2	12	66217911	1	34550000	LPP	3	187871072	1	89450000	302	73	16	1	0	HMGA2-LPP
HMGA2	12	66217911	1	34550000	NFIB	9	14081842	-1	48150000	166	4	9	1	0	HMGA2-NFIB
HMGA2	12	66217911	1	34550000	RAD51B	14	68286496	1	16850000	40	5	5	1	0	HMGA2-RAD51B
HMGA2	12	66217911	1	34550000	WIF1	12	65444406	-1	34550000	74	7	3	1	1	HMGA2-WIF1
HN1	17	73131343	-1	23100000	USH1G	17	72912176	-1	23100000	1	1	1	0	1	HN1-USH1G
HNRNPA2B1	7	26229547	-1	58950000	ETV1	7	13930853	-1	58950000	219	5	4	1	0	HNRNPA2B1-ETV1
HOOK3	8	42752075	1	44350000	RET	10	43572475	1	39100000	55	1	6	0	0	HOOK3-RET
IL6R	1	154377669	1	123250000	ATP8B2	1	154298029	1	123250000	1	1	1	1	0	IL6R-ATP8B2
INTS4	11	77589766	-1	52650000	GAB2	11	77926343	-1	52650000	1	1	1	0	1	INTS4-GAB2
IRF2BP2	1	234740015	-1	123250000	CDX1	5	149546358	1	47250000	4	1	1	0	0	IRF2BP2-CDX1
JAZF1	7	27870192	-1	58950000	PHF1	6	33378176	1	59850000	45	5	6	1	1	JAZF1-PHF1
JAZF1	7	27870192	-1	58950000	SUZ12	17	30264037	1	23100000	161	72	19	1	0	JAZF1-SUZ12
KIAA1549	7	138516126	-1	58950000	BRAF	7	140419127	-1	58950000	1395	613	84	0	1	KIAA1549-BRAF
KIAA1598	10	118643742	-1	39100000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	KIAA1598-ROS1
KIF5B	10	32297938	-1	39100000	ALK	2	29415640	-1	91900000	2385	10	31	1	0	KIF5B-ALK
KIF5B	10	32297938	-1	39100000	RET	10	43572475	1	39100000	4119	62	53	1	0	KIF5B-RET
KLC1	14	104028233	1	16850000	ALK	2	29415640	-1	91900000	301	1	6	1	0	KLC1-ALK
KLK2	19	51364824	1	25450000	ETV1	7	13930853	-1	58950000	25	1	1	1	0	KLK2-ETV1
KLK2	19	51364824	1	25450000	ETV4	17	41605212	-1	23100000	1	1	1	1	1	KLK2-ETV4
KMT2A	11	118307205	1	52650000	ABI1	10	27035522	-1	39100000	2	2	4	1	0	KMT2A-ABI1
KMT2A	11	118307205	1	52650000	ABI2	2	204192942	1	91900000	1	1	1	1	0	KMT2A-ABI2
KMT2A	11	118307205	1	52650000	ACTN4	19	39138289	1	25450000	2	2	2	1	0	KMT2A-ACTN4
KMT2A	11	118307205	1	52650000	AFF1	4	87856154	1	49300000	2465	308	74	1	0	KMT2A-AFF1
KMT2A	11	118307205	1	52650000	AFF3	2	100162323	-1	91900000	127	4	4	1	1	KMT2A-AFF3
KMT2A	11	118307205	1	52650000	AFF4	5	132211071	-1	47250000	21	4	3	1	1	KMT2A-AFF4
KMT2A	11	118307205	1	52650000	ARHGAP26	5	142149949	1	47250000	3	3	4	1	0	KMT2A-ARHGAP26
KMT2A	11	118307205	1	52650000	ARHGEF12	11	120207787	1	52650000	1	1	3	1	0	KMT2A-ARHGEF12
KMT2A	11	118307205	1	52650000	BTBD18	11	57510986	-1	52650000	1	1	1	1	1	KMT2A-BTBD18
KMT2A	11	118307205	1	52650000	CASC5	15	40886218	1	17400000	6	6	4	1	0	KMT2A-CASC5
KMT2A	11	118307205	1	52650000	CASP8AP2	6	90539613	1	59850000	1	1	1	1	0	KMT2A-CASP8AP2
KMT2A	11	118307205	1	52650000	CBL	11	119076752	1	52650000	1	1	3	1	0	KMT2A-CBL
KMT2A	11	118307205	1	52650000	CREBBP	16	3775055	-1	35600000	7	7	8	1	0	KMT2A-CREBBP
KMT2A	11	118307205	1	52650000	CT45A2	X	134866214	1	59350000	1	1	1	1	0	KMT2A-CT45A2
KMT2A	11	118307205	1	52650000	DAB2IP	9	124329336	1	48150000	1	1	2	1	0	KMT2A-DAB2IP
KMT2A	11	118307205	1	52650000	EEFSEC	3	127872297	1	89450000	124	1	1	1	0	KMT2A-EEFSEC
KMT2A	11	118307205	1	52650000	ELL	19	18553473	-1	25450000	43	17	17	1	0	KMT2A-ELL
KMT2A	11	118307205	1	52650000	EP300	22	41487790	1	13450000	3	3	3	1	0	KMT2A-EP300
KMT2A	11	118307205	1	52650000	EPS15	1	51819935	-1	123250000	131	9	14	1	0	KMT2A-EPS15
KMT2A	11	118307205	1	52650000	FOXO3	6	108881038	1	59850000	2	2	3	1	0	KMT2A-FOXO3
KMT2A	11	118307205	1	52650000	FOXO4	X	70316047	1	59350000	1	1	2	1	0	KMT2A-FOXO4
KMT2A	11	118307205	1	52650000	FRYL	4	48499378	-1	49300000	1	1	1	1	0	KMT2A-FRYL
KMT2A	11	118307205	1	52650000	GAS7	17	9813926	-1	23100000	2	2	3	1	0	KMT2A-GAS7
KMT2A	11	118307205	1	52650000	GMPS	3	155588325	1	89450000	1	1	1	1	0	KMT2A-GMPS
KMT2A	11	118307205	1	52650000	GPHN	14	66974125	1	16850000	1	1	2	1	0	KMT2A-GPHN
KMT2A	11	118307205	1	52650000	CEP170B	14	105331617	1	16850000	2	2	3	1	0	KMT2A-CEP170B
KMT2A	11	118307205	1	52650000	KIAA1524	3	108268716	-1	89450000	1	1	1	1	1	KMT2A-KIAA1524
KMT2A	11	118307205	1	52650000	LASP1	17	37026112	1	23100000	1	1	3	1	0	KMT2A-LASP1
KMT2A	11	118307205	1	52650000	LPP	3	187871072	1	89450000	1	1	1	1	0	KMT2A-LPP
KMT2A	11	118307205	1	52650000	MAPRE1	20	31407699	1	26550000	1	1	1	1	0	KMT2A-MAPRE1
KMT2A	11	118307205	1	52650000	MLLT1	19	6212966	-1	25450000	667	86	33	1	0	KMT2A-MLLT1
KMT2A	11	118307205	1	52650000	MLLT10	10	21823094	1	39100000	145	23	26	1	1	KMT2A-MLLT10
KMT2A	11	118307205	1	52650000	MLLT11	1	151030234	1	123250000	5	5	7	1	0	KMT2A-MLLT11
KMT2A	11	118307205	1	52650000	MLLT3	9	20341663	-1	48150000	399	75	36	1	0	KMT2A-MLLT3
KMT2A	11	118307205	1	52650000	MLLT4	6	168227602	1	59850000	29	27	26	1	0	KMT2A-MLLT4
KMT2A	11	118307205	1	52650000	MLLT6	17	36861795	1	23100000	2	2	10	1	0	KMT2A-MLLT6
KMT2A	11	118307205	1	52650000	MYO1F	19	8585674	-1	25450000	1	1	1	1	0	KMT2A-MYO1F
KMT2A	11	118307205	1	52650000	NCKIPSD	3	48701364	-1	89450000	1	1	2	1	0	KMT2A-NCKIPSD
KMT2A	11	118307205	1	52650000	NRIP3	11	9002123	-1	52650000	1	1	1	1	0	KMT2A-NRIP3
KMT2A	11	118307205	1	52650000	PDS5A	4	39824483	-1	49300000	1	1	1	1	0	KMT2A-PDS5A
KMT2A	11	118307205	1	52650000	PICALM	11	85668727	-1	52650000	1	1	3	1	1	KMT2A-PICALM
KMT2A	11	118307205	1	52650000	PRRC1	5	126853301	1	47250000	1	1	1	1	0	KMT2A-PRRC1
KMT2A	11	118307205	1	52650000	SARNP	12	56146247	-1	34550000	1	1	1	1	1	KMT2A-SARNP
KMT2A	11	118307205	1	52650000	2-Sep	2	242254515	1	91900000	2	2	4	1	0	KMT2A-SEPT2
KMT2A	11	118307205	1	52650000	5-Sep	22	19701987	1	13450000	2	2	1	1	0	KMT2A-SEPT5
KMT2A	11	118307205	1	52650000	6-Sep	X	118749687	-1	59350000	6	6	13	1	1	KMT2A-SEPT6
KMT2A	11	118307205	1	52650000	9-Sep	17	75276651	1	23100000	133	10	14	1	0	KMT2A-SEPT9
KMT2A	11	118307205	1	52650000	SH3GL1	19	4360367	-1	25450000	1	1	2	1	0	KMT2A-SH3GL1
KMT2A	11	118307205	1	52650000	SORBS2	4	186506598	-1	49300000	1	1	1	1	1	KMT2A-SORBS2
KMT2A	11	118307205	1	52650000	TET1	10	70320413	1	39100000	3	3	5	1	0	KMT2A-TET1
KMT2A	11	118307205	1	52650000	TOP3A	17	18174742	-1	23100000	1	1	1	1	0	KMT2A-TOP3A
KMT2A	11	118307205	1	52650000	ZFYVE19	15	41099284	1	17400000	1	1	2	1	0	KMT2A-ZFYVE19
KTN1	14	56025790	1	16850000	RET	10	43572475	1	39100000	147	2	9	1	0	KTN1-RET
LIFR	5	38475065	-1	47250000	PLAG1	8	57073463	-1	44350000	97	4	6	1	1	LIFR-PLAG1
LMNA	1	156052364	1	123250000	NTRK1	1	156785432	1	123250000	38	2	1	1	0	LMNA-NTRK1
LRIG3	12	59265931	-1	34550000	ROS1	6	117609463	-1	59850000	675	2	11	0	1	LRIG3-ROS1
LSM14A	19	34663409	1	25450000	BRAF	7	140419127	-1	58950000	38	1	1	1	1	LSM14A-BRAF
MARK4	19	45582546	1	25450000	ERCC2	19	45853095	-1	25450000	6	0	1	1	1	MARK4-ERCC2
MBOAT2	2	8992820	-1	91900000	PRKCE	2	45878484	1	91900000	1	1	1	1	1	MBOAT2-PRKCE
MBTD1	17	49254786	-1	23100000	CXorf67	X	51149767	1	59350000	27	3	1	0	1	MBTD1-CXorf67
MEAF6	1	37958176	-1	123250000	PHF1	6	33378176	1	59850000	8	4	3	1	1	MEAF6-PHF1
MKRN1	7	140152840	-1	58950000	BRAF	7	140419127	-1	58950000	96	1	1	0	1	MKRN1-BRAF
MN1	22	28144265	-1	13450000	ETV6	12	11802788	1	34550000	13	10	7	0	1	MN1-ETV6
MSN	X	64808257	1	59350000	ALK	2	29415640	-1	91900000	2	2	6	1	0	MSN-ALK
MYB	6	135502453	1	59850000	NFIB	9	14081842	-1	48150000	36	11	11	1	0	MYB-NFIB
MYO5A	15	52599480	-1	17400000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	MYO5A-ROS1
NAB2	12	57482677	1	34550000	STAT6	12	57489191	-1	34550000	295	246	12	1	1	NAB2-STAT6
NACC2	9	138898383	-1	48150000	NTRK2	9	87283466	1	48150000	96	1	2	0	0	NACC2-NTRK2
NCOA4	10	51565108	1	39100000	RET	10	43572475	1	39100000	4431	358	137	1	0	NCOA4-RET
NDRG1	8	134249414	-1	44350000	ERG	21	39751949	-1	12050000	12	3	2	0	1	NDRG1-ERG
NF1	17	29421945	1	23100000	ASIC2	17	31340105	-1	23100000	1	1	1	1	1	NF1-ASIC2
NFIA	1	61330931	1	123250000	EHF	11	34642640	1	52650000	1	1	1	0	1	NFIA-EHF
NFIX	19	13106422	1	25450000	MAST1	19	12944765	1	25450000	153	1	1	0	1	NFIX-MAST1
NONO	X	70503042	1	59350000	TFE3	X	48886242	-1	59350000	3	1	4	1	0	NONO-TFE3
NOTCH1	9	139388896	-1	48150000	GABBR2	9	101050391	-1	48150000	153	1	1	0	1	NOTCH1-GABBR2
NPM1	5	170814120	1	47250000	ALK	2	29415640	-1	91900000	1344	319	86	1	0	NPM1-ALK
NTN1	17	8924859	1	23100000	ACLY	17	40023161	-1	23100000	1	1	1	0	1	NTN1-ACLY
NUP107	12	69080514	1	34550000	LGR5	12	71833550	1	34550000	18	1	1	1	0	NUP107-LGR5
NUP214	9	134000948	1	48150000	ABL1	9	133589333	1	48150000	873	45	16	1	0	NUP214-ABL1
NUP98	11	3692313	-1	52650000	KDM5A	12	389295	-1	34550000	77	4	1	1	0	NUP98-KDM5A
OMD	9	95176527	-1	48150000	USP6	17	5019733	1	23100000	1	1	2	0	1	OMD-USP6
PAX3	2	223064607	-1	91900000	FOXO1	13	41129804	-1	17100000	1163	382	72	0	1	PAX3-FOXO1
PAX3	2	223064607	-1	91900000	NCOA1	2	24714783	1	91900000	6	4	3	0	1	PAX3-NCOA1
PAX3	2	223064607	-1	91900000	NCOA2	8	71021997	-1	44350000	5	2	2	0	1	PAX3-NCOA2
PAX5	9	36833272	-1	48150000	JAK2	9	4985033	1	48150000	3	3	4	1	1	PAX5-JAK2
PAX7	1	18957500	1	123250000	FOXO1	13	41129804	-1	17100000	981	100	56	0	1	PAX7-FOXO1
PAX8	2	113973574	-1	91900000	PPARG	3	12328867	1	89450000	1395	86	77	0	1	PAX8-PPARG
PCM1	8	17780349	1	44350000	JAK2	9	4985033	1	48150000	147	15	17	0	1	PCM1-JAK2
PCM1	8	17780349	1	44350000	RET	10	43572475	1	39100000	55	1	7	0	0	PCM1-RET
PLA2R1	2	160788519	-1	91900000	RBMS1	2	161128662	-1	91900000	1	1	1	0	1	PLA2R1-RBMS1
PLXND1	3	129274018	-1	89450000	TMCC1	3	129366635	-1	89450000	1	1	1	0	1	PLXND1-TMCC1
PML	15	74287014	1	17400000	RARA	17	38465444	1	23100000	841	725	42	1	0	PML-RARA
PPFIBP1	12	27676364	1	34550000	ALK	2	29415640	-1	91900000	3	3	3	0	0	PPFIBP1-ALK
PPFIBP1	12	27676364	1	34550000	ROS1	6	117609463	-1	59850000	38	2	1	0	1	PPFIBP1-ROS1
PRCC	1	156720402	1	123250000	TFE3	X	48886242	-1	59350000	13	11	11	1	0	PRCC-TFE3
PRKAR1A	17	66507921	1	23100000	RET	10	43572475	1	39100000	1126	30	38	1	0	PRKAR1A-RET
PTPRK	6	128289924	-1	59850000	RSPO3	6	127439749	1	59850000	69	5	4	0	0	PTPRK-RSPO3
PWWP2A	5	159488808	-1	47250000	ROS1	6	117609463	-1	59850000	38	2	1	0	1	PWWP2A-ROS1
QKI	6	163835032	1	59850000	NTRK2	9	87283466	1	48150000	96	2	2	1	0	QKI-NTRK2
RAF1	3	12625100	-1	89450000	DAZL	3	16628299	-1	89450000	1	1	1	1	0	RAF1-DAZL
RANBP2	2	109335937	1	91900000	ALK	2	29415640	-1	91900000	28	18	11	1	0	RANBP2-ALK
RBM14	11	66384053	1	52650000	PACS1	11	65837834	1	52650000	1	1	1	1	0	RBM14-PACS1
RGS22	8	100973164	-1	44350000	SYCP1	1	115397424	1	123250000	1	1	1	0	1	RGS22-SYCP1
RNF130	5	179338651	-1	47250000	BRAF	7	140419127	-1	58950000	96	2	2	0	1	RNF130-BRAF
RUNX1	21	36160098	-1	12050000	RUNX1T1	8	92967203	-1	44350000	1597	417	55	0	1	RUNX1-RUNX1T1
SDC4	20	43953928	-1	26550000	ROS1	6	117609463	-1	59850000	677	5	19	0	1	SDC4-ROS1
SEC16A	9	139334549	-1	48150000	NOTCH1	9	139388896	-1	48150000	153	2	1	0	1	SEC16A-NOTCH1
SEC31A	4	83739814	-1	49300000	ALK	2	29415640	-1	91900000	1	1	5	0	0	SEC31A-ALK
SEC31A	4	83739814	-1	49300000	JAK2	9	4985033	1	48150000	132	2	2	0	1	SEC31A-JAK2
8-Sep	5	132086509	-1	47250000	AFF4	5	132211071	-1	47250000	1	1	1	0	1	SEPT8-AFF4
SET	9	131445703	1	48150000	NUP214	9	134000948	1	48150000	514	43	15	1	0	SET-NUP214
